id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
1,assinatura,Assinatura,pt-BR,,,,,
2,iniciativa,Iniciativa,pt-BR,,,,,
3,julgamento,Julgamento,pt-BR,,,,,
4,publicacao,"Publicação Original",pt-BR,,,,,
5,alteracao,Alteração,pt-BR,,,,,
6,retificacao,Retificação,pt-BR,,,,,
7,republicacao,Republicação,pt-BR,,,,,
8,anulacao,Anulação,pt-BR,,,,,
9,declaracao.inconstitucionalidade,"Declaração de Inconstitucionalidade",pt-BR,,,,,
10,derrubada.veto.parcial,"Derrubada de Veto Parcial",pt-BR,,,,,
11,derrubada.veto.total,"Derrubada de Veto Total",pt-BR,,,,,
12,anotacao,Anotação,pt-BR,,,,,
13,texto.atualizado,"Texto Atualizado",pt-BR,,,,,
14,leitura,Leitura,pt-BR,,,,,
